contract_address,is-upc-groundtruth,is-proxy-groundtruth,implementation-contracts
0x000100bb517e0c003200502a822083000a3b005d,UPC,Proxy,"['0xd07d77eab98f32f672de1f5b6a6aa824582e74cd', '0x79b6f3a7f6a841ea05c9109447a265d5d0bbca99', '0x9cac8b93d5cc43d253362e787aba4d4eff676170']"
0x000d02bb5e9ff7bd7aec0c37999b4d1031857704,UPC,Proxy,"['0x4ddedab885255403bbd93ac8e26cc61d34f43e85', '0x1b836c9e935121dc2f6d0b296fce353ff01299ac']"
0x000ed4aa620a96bdfa21d49e3ac54c33dbc3fd76,UPC,Proxy,"['0xcb11c9b33f9793895c19b31caf0fc72ffc920232', '0x4b9195d13fd61871f72621141eeecfb6426388bc']"
0x00182fdb0b880ee24d428e3cc39383717677c37e,UPC,Proxy,"['0x311abb81dee5de777980e635c33df2ef79974dc7', '0x8be9542d314f5ae0c995998a6665a0732fc01915', '0x80ab43e368a74337f46bd096374c76cbeee48ed2']"
0x0034ea9808e620a0ef79261c51af20614b742b24,UPC,Proxy,"['0x188f932d3ac002057df3590b8e6134be2acd3bfc', '0x1b9cf2bdaecd0c597391943f3ff8ba771a692d41', '0xf9f6a4366fe7a54ca0e7f1974fef009aff765f01']"
0x00832130896b1992f6be24a4130e5e1e56d29d65,UPC,Proxy,"['0x5414a2ed0829130d6aa5b4106e7efcc9183f708b', '0xdad8b930e8ed35576226b38d87ab23a2a6c5712c']"
0x008c589c471fd0a13ac2b9338b69f5f7a1a843e1,UPC,Proxy,"['0xbed6e1ff4363730a56dfdcd6689e5d958085299d', '0x31bee1fb186fc3bbc8f7639206d675cf3dea2140']"
0x00aadc47d91fd9cac3369e6045042f9f99216b98,UPC,Proxy,"['0x201480bdb1d4308d0db8d9cfccc1848ff65aa343', '0xc33fe4a5c2990cc0a62ab26a74604ea57ad955aa']"
0x00abdb2fbbc763b6b4a8700e10550ad74dac4d43,UPC,Proxy,"['0x60f3b57d63fb7cd3e0408b7941ddbe157b52044e', '0x06d16d05daec5c792622cef8c631e9352bb32a78', '0x86563f0fc58aed63b69c6c74428cd72e7304cb69', '0x9b66c53f01ec18673f1b2be3c0a91a298fa31b4f']"
0x00b8f3e184e5daaadb8fda995bbabbcc1b35ae93,UPC,Proxy,"['0xcb18f857664ffb3835459bc4dd27ed50614e3d60', '0xbc565b8988f6d3963c35ca062d00b8bd5db8a68a']"
0x00d2d3f3d9a4c5f623e149849148bf0a62bf99d7,UPC,Proxy,"['0x3a7ea558d43463512afa7663a55d5af1a7faef99', '0x2a3e55659350a4cb8ecd68e7992b538b4fedc490']"
0x00e5c0774a5f065c285068170b20393925c84bf3,UPC,Proxy,"['0x432979a3f808b6cfca2d393206378ea5b39e33e5', '0x7e8844ea4c211a69ad9308ba0b6cdb3ea0bb2b05', '0xf7ea2f80033ee7330a117449c25f92c98cb3afd9', '0x02c9133627a14214879175a7a222d0a7f7404efb', '0x29791bef310305d15b8fa4cd57953bd8db805305', '0x20ca53e2395fa571798623f1cfbd11fe2c114c24', '0x183225623058286ddf092aac03f2721f020eea97']"
0x00f43370ebb088afeb7c204f56385758b882c048,UPC,Proxy,"['0x79142db98fb68adb3e8b56db1a388dd0fffb3df8', '0xe0447ecad996722dc3ec91302b642dfd38a47fba', '0xe1bf04d7bcef1e04a1d08d83057c1335aec765de', '0x8ead00c633e26d513340b292b6dec0c279a15142', '0x39fc9f45edde4863bfbc22de3e3656cd82fb124d', '0x1928dd9f6c0a24ebecaf130ee4d8f9c585a27054', '0x85a72746f4ff8fa46fe0f91b98e0f5ee43efd06c', '0x5fe7aebd46d927fde010a05cb4c257af11826d11', '0xecb803f4bffb32798290b234c72cf88d0a103c15']"
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,UPC,Proxy,"['0x2f06e43d850ac75926fa2866e40139475b58cb16', '0xcb0da32914a683286ed2d4890e8157ffecc9bd06', '0xf6f09e56b96aa3c9a2cb2cb277eb523c72336120']"
0x01285d34fe29262a61788775df716acc7ddf897c,UPC,Proxy,"['0x7ef00263bf541b141a34c9eb8a2095c20b1ff920', '0x3039f942dc90c20e128eb55a1baffed3b0a73817', '0x48e143b4565d25893a8e8a5f7fbfc6fb4c9b8f90']"
0x017e5388e6f0f00e6a99c3334ea0f32ced508b38,UPC,Proxy,"['0x5b1795a396311f3824caf22c2ead1332e8cbb9df', '0x4c844d7f3558be2458885ec8d160060d187c014a']"
0x019e14da4538ae1bf0bcd8608ab8595c6c6181fb,UPC,Proxy,"['0x4b6e556841a88b0682c0bc9abb6bdaf4572184b4', '0x46a1ef81c4883a38347c005989c82fe80ba08141', '0x16677ff4cbd9fb09dc0157336f610f55df333187', '0xa394922a1a45786583e5383cf4485a6f325d8807', '0x8e7e518b0481adfaf969ed1f2b25bf553b79a677', '0x3359bb31cd8f80a98a13856d3c89b71e7b51a0f0']"
0x01bfd82675dbcc7762c84019ca518e701c0cd07e,UPC,Proxy,"['0x1cc712e2a9f77149c2eb3a4051b6dd63d71dbc4f', '0xcafea6d5ec9fe9e0930dae95726aba509c0f7d0a', '0xffd3dacf5a877e50367c8536a5254273f2ff0246', '0xcafeaea91ec6a2da356a05d00d46eafda28b6dd8']"
0x01c0eb1f8c6f1c1bf74ae028697ce7aa2a8b0e92,UPC,Proxy,"['0xd0fe84864a9d599aed7d77f16d9ac196e57ece79', '0x8bc2f9aaa958bd5d2e3f47ab9b4042481f33c5c0']"
0x01c2fee5d6e76ec26162daaf4e336beed01f2651,UPC,Proxy,"['0xf71d76e27d4b6f7bad01bbc322b6b5a77f715161', '0x3c02841d50514d6b4c53bb44b467a79eef547295']"
0x01e1d41c1159b745298724c5fd3eaff3da1c6efd,UPC,Proxy,"['0x3ceddef5cbe54674fcbe1b4368a68b8d6a20fc46', '0xfaed291aba8c0f7daae17c0176ccc398d9284fd5']"
0x01fad58cc2f0d3282724be1da34b90709bf04e37,UPC,Proxy,"['0x44f63315577da86564129c182a10f07023ab3235', '0x6c1570470447dcaa385b905d250ca5eb6115baba', '0x8d5d8f53c1b95a9459bbbac4119d030cea517426']"
0x020439688aa784baa55dfedb4732e8229ac8fb1b,UPC,Proxy,"['0x548c847f97f42e11948aee042dacd2e6f2076274', '0x5d4c6a60d80bad2bad174ab4da5d7e5a2097d6cc']"
0x0209ce3516587cc4a22b54c024b2ee724c117036,UPC,Proxy,"['0x566b760581eaa09276af44187f7fcd26524d0995', '0xbaa1778f928e88a6b6344a89ea5f1a976d6acdb6']"
0x02285acaafeb533e03a7306c55ec031297df9224,UPC,Proxy,"['0x90af4ef294ff50a271c3f5dbe509022e0fbd1ae8', '0x331bccace690a5d40019b1c726ad70dad25f28ea', '0xdd23a50cf7503655283089b78c9369519de1c443']"
0x02651e355d26f3506c1e644ba393fdd9ac95eaca,UPC,Proxy,"['0xcc06b51b8152520634d3640f40533bedbb22af65', '0xfb07a644a9e53879f29f7b3f29362e9c95b1ffa3', '0x9810e2949de1e2c12d576c0d6d7af0f925c07bd8']"
0x026544dacfafc3422a0219cb6be03ecb5d99a771,UPC,Proxy,"['0x882500e81d3b39a4741edac3bca717fb2df667ed', '0xa8edde01e933231e7af43913bc3e075b80f5e1fc']"
0x028171bca77440897b824ca71d1c56cac55b68a3,UPC,Proxy,"['0xb7bf8e4908ad1caf1a638b30ef80afc581fdc968', '0x7b2a3cf972c3193f26cdec6217d27379b6417bd0']"
0x028db7a9d133301bd49f27b5e41f83f56ab0faa6,UPC,Proxy,"['0xeb25293808c97f1def991f15f756e00d595520ef', '0x8f70b274847418618d66e651437d5fb24d0f605b', '0x37972736a3cf92e00c8f59ae5e80b3733b622f9e']"
0x02b23989fcadf9dcc8cbc3929b3a08bf99718ff0,UPC,Proxy,"['0xe61b48d00b9ca02dd9a3764a4d9d263cd7b4d351', '0xe6ade8674d17b32d139032992b63a678e98d5113']"
0x02bd4a3b1b95b01f2aa61655415a5d3eaacaafdd,UPC,Proxy,"['0x0007c119cd665803b3e546bf3e7019d1fc9623b7', '0x6f51da68446e568fe24be166917a99d4da7ee1d0']"
0x02f88164060912ee44ba9480d05d462d20cff3bc,UPC,Proxy,"['0x6dfc8b880d6c1043bebb6eb2346913185ce1b48b', '0x454bb75c7dbca9092981a7d4f641fac02e49665b', '0xb542d5cb34ef265fb87c170181127332f7797369']"
0x0302f55dc69f5c4327c8a6c3805c9e16fc1c3464,UPC,Proxy,"['0x67e70eeb9dd170f7b4a9ef620720c9069d5e706c', '0x67db14e73c2dce786b5bbbfa4d010deab4bbfcf9']"
0x0309c98b1bffa350bcb3f9fb9780970ca32a5060,UPC,Proxy,"['0x9234566e32e505cdb3cc631111d6032bc13f1c8a', '0x49815240747ff61b00634704953bc8113d649adc', '0x97f8d3a42f09f31e9f2180c064fed9f4a8b28334', '0xe02cc6275d789c121bedfe3a450bf3a05d9ca53e', '0xf75c5733bc41206b88738bbcf618cafccf3d96d9']"
0x030ba81f1c18d280636f32af80b9aad02cf0854e,UPC,Proxy,"['0xeae447b2e31b879299d79b2ef02f2649ed7cd1b9', '0x541dcd3f00bcd1a683cc73e1b2a8693b602201f4']"
0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,UPC,Proxy,"['0x787d7b7fe2dcd549d9005850f67cce602b83e60c', '0x39bb5d50bcb3d912d16d43ef76d98c54e021c0cb', '0x3c8df53b15860cafb50782bc1e730e2d98e01afd', '0x773234e5c1e9e65932bbe4437fde65af1ca4ab4b', '0xf13f977aac9b001f155889b9efa7a6628fb7a181']"
0x032d06b4cc8a914b85615acd0131c3e0a7330968,UPC,Proxy,"['0x9a5d93e12892ebf37589647c6aad4faa6245268e', '0xa490fa4159103fae9b63602ccdeb362ef9f8fcf7', '0x9167b72fbd1241d2c3c991a7940eba98221e28f4', '0xc76259e24433c38e6101421d3a5f8eab661b30aa']"
0x037254eb3adebf06eda6ece3029355888aeefa70,UPC,Proxy,"['0x02baf4d599de4f4a7cba21435465414fe7c6e3e8', '0xb57141eec67e645122bdf563e8b3e8a2a62965ae']"
0x037b13dd88508a20601573bd97e74279ff38191f,UPC,Proxy,"['0x7afc6e6ac22bd73a9d7a988d3c8d26313d3dd4cc', '0x201ceaee2559ce67b25dca891138f5aacd295ebf', '0x1177ff2341a42c493fff2b45eb63e9e761be6816', '0x9c0542f08f7d03f45d8165af87f615fac7b00027']"
0x0385603ab55642cb4dd5de3ae9e306809991804f,UPC,Proxy,"['0xeb067affd7390f833eec76bf0c523cf074a7713c', '0x8d17687ea9a6bb6efa24ec11dcfab01661b2ddcd', '0x77c857dc23fcf2a4390fb80d6116311049494d47', '0x0caaa6d74624b76e7b5f8bb6500ba64ddfd0e613', '0xf2ed6275ceaa8b511f8a860280a8325ee2f5c5d5']"
0x039e7ef6a674f3ec1d88829b8215ed45385c24bc,UPC,Proxy,"['0x1a5de76ef2261fc6cb281f8a447bef4e48ef5d25', '0xac6bdb1fbeb4eb49eede568b2d33684b2fac50fb']"
0x03a7271feb378327131012610c4a7a3d58f13216,UPC,Proxy,"['0xc1c09109a56cdf2c5304d2309813afc1e46f1324', '0x5b647be2c566c5b1b045070ce07ff96e67a9e5cc']"
0x03bf707deb2808f711bb0086fc17c5cafa6e8aaf,UPC,Proxy,"['0xa8821d1c61337c1c2d1e9042fbd1bf4d5a3efb2e', '0x9053f2c9182adcf0fe2556fe4c0ff1fe4f622dfb', '0x4d99fba81e7f0c4b56a4128968b128c49dda2672', '0xf580ff539cb2764dcc687f950478d9dadeb83502', '0x011ef047b99dc14862e279824fea36bac67c4074', '0x2cc916db3545de8e7d6577d9b4fe10e359a055cb', '0x568339d4dfa645ea949426a23e7b88626a4ef520']"
0x03d20ef9bdc19736f5e8baf92d02c8661a5941f7,UPC,Proxy,"['0x14de5cd46c776d6b20579dd8c3de599ed7669362', '0x46d71cc85e7307e95229b2081e361e893a31dbf3', '0x139f404594875f9e46eea1a14cfdfcc9b4341ddf', '0x9e1701c12d7f79affb9c099710d40ecca68fe9b8']"
0x03df236eacfcef4457ff7d6b88e8f00823014bcd,UPC,Proxy,"['0xaa6238ba1b26113278b0a00dbbc14b35700e0586', '0xe34a736290548227415329962705a6ee17c5f1a5', '0xcdab36f3a9d4705a0f27bfde64d770597945376a', '0x45cef1cf7ce1c2217f123242632d5812fd10d74d']"
0x03ef3f37856bd08eb47e2de7abc4ddd2c19b60f2,UPC,Proxy,"['0x8313fd80b4ba0d603918af3fab9a88daa56796b0', '0x2db8457c27f797cb444cc3da4a9a0c2829f81014', '0x3380a2c534bcdbe72801988b242e80257b50d3ed']"
0x03f34be1bf910116595db1b11e9d1b2ca5d59659,UPC,Proxy,"['0xe25ff902295bc085bd548955b0595b518d4c46d2', '0x89062f9dd198bcefb07417e488a6be71c1c9f1c3', '0x8a491b95b24382fce96be36a4efc3dae5e9a3a56']"
0x041171993284df560249b57358f931d9eb7b925d,UPC,Proxy,"['0x3363bae2fc44da742df13cd3ee94b6bb868ea376', '0xa035b9e130f2b1aedc733eefb1c67ba4c503491f']"
0x0417912b3a7af768051765040a55bb0925d4ddcf,UPC,Proxy,"['0xee20f83693838c862984723b161aaca4eb3163d1', '0xd4c7b015be4a70647cd6474dea4348b1249bd13c', '0xb392b506552b4708bcc213be1793038008cfce74', '0x4669056d476d25a7f0f842b2bd9b6cb1f8cd8752', '0xcf1b3e822ed8c2474c08c3da0455edf735926eec', '0x0774e63ebe00476263eb59d1ab4edb87370035bd', '0x92f5e5987d526c5181ce2d0562165064e87902cc', '0x5c9cd89786ddeebaa24edc467e27a0817cfa1ecb']"
0x04281f6715dea6a8ebbce143d86ea506ff326531,UPC,Proxy,"['0x67db14e73c2dce786b5bbbfa4d010deab4bbfcf9', '0x67e70eeb9dd170f7b4a9ef620720c9069d5e706c']"
0x04595f9010f79422a9b411ef963e4dd1f7107704,UPC,Proxy,"['0x7bb8e7155e8f0bfb8d9233102cba3ea0cb27d62c', '0x12916d5a1d7d4143684cbbc7b076fbe612b89126']"
0x045afa8086f15af0f84d6836078195de783f4014,UPC,Proxy,"['0x4487dd1fbd28ddff0931c2bcb26b441f2f4541b3', '0xdc42202c9c4e3b967314c760024667bfea1783c3']"
0x04637d61f538911929ff96e755b589c014fd9ce2,UPC,Proxy,"['0xe958a07dba53e43f1c9a8527e08377bc12365f69', '0xaeff30546761d65dd3a3ba555f504b13f0e814f8']"
0x0468a16bff9722cb8fe8b5a560a6116954fb8ee9,UPC,Proxy,"['0xecb803f4bffb32798290b234c72cf88d0a103c15', '0x4c7956e1f3c3c2bfdb73ff7cdf4051d661c503e0', '0x0c112895bee8c38fb66612025d45bb8dfb72a60a', '0x79142db98fb68adb3e8b56db1a388dd0fffb3df8', '0x8ead00c633e26d513340b292b6dec0c279a15142', '0x85a72746f4ff8fa46fe0f91b98e0f5ee43efd06c', '0x39fc9f45edde4863bfbc22de3e3656cd82fb124d', '0x1928dd9f6c0a24ebecaf130ee4d8f9c585a27054', '0xe0447ecad996722dc3ec91302b642dfd38a47fba', '0x5fe7aebd46d927fde010a05cb4c257af11826d11', '0xe1bf04d7bcef1e04a1d08d83057c1335aec765de']"
0x04745b484a10c46322f7657a2566f0b00f2d4991,UPC,Proxy,"['0x946b149152b3330e99945018582bef226aee12ed', '0x1ff0a949408eb0aaa7bf4a236e0ca071debbf4c4', '0x7bfcf20d3c066ebcd9473355f58d14e3aaced0e0', '0x0b1d955173623f5ad616ac7ba69ca174e912aab0']"
0x0486b8d96789c6938361ab776d6b27b6fc03c471,UPC,Proxy,"['0x322401fff76dda9cea5595aaa90d062798907bde', '0x65d39ec3d0f6565779b6e3666ff76da0455fd252', '0x71d62518a562a4c48ed28d9864cfb99ed6818143', '0x817f71bedd444ed56fb5140548047a51805e123e']"
0x049aba7510f45ba5b64ea9e658e342f904db358d,UPC,Proxy,"['0x6d4fafcd5b4a8b360c80eaca8d91e3bc814ecc39', '0x81897e86fe7818c4deab5f908ca495b5a9128e24', '0xa715562307aa8aedcba976b3793b3337f371c14a', '0xe09dc3724cd5b566d64db4186fa8b4321071c28f', '0x2351f8557ec733f35a278c922f9dcaac32c687af']"
0x04bda0cf6ad025948af830e75228ed420b0e860d,UPC,Proxy,"['0xca5e07804beef19b6e71b9db18327d215cd58d4e', '0xd899ac9283a44533c36bc8373f5c898b0d5fc03e']"
0x04ff3733a737ffe5f79d0b8f29ead0e31d512ffd,UPC,Proxy,"['0x8ad9f92f9fca204b0ca8c25e9d3b352d48addc65', '0x8fd9a8a9dfe97257bfbe5bddeaeeafd385db0ffd']"
0x051e3a47724740d47042edc71c0ae81a35fdede9,UPC,Proxy,"['0x957c0fe2dc531e4035f04f280d99cfe8d96993d9', '0xc7720164ed26f3f49540fd0d98feac94bbcf7823']"
0x052891dd63f668abab2abfd938654071104ab244,UPC,Proxy,"['0x94a645c993a26fad3f6fc766a2a494ff93c92a63', '0x79f722f58bbf4eb688ecb79747bd9f2b2ccf19a7', '0xe61b48d00b9ca02dd9a3764a4d9d263cd7b4d351']"
0x0538c8bac84e95a9df8ac10aad17dbe81b9e36ee,UPC,Proxy,"['0x479dfa0612ea457235cdeefcdea4e3ff072778ca', '0x3ceddef5cbe54674fcbe1b4368a68b8d6a20fc46']"
0x05461334340568075be35438b221a3a0d261fb6b,UPC,Proxy,"['0x353488058ba40b280b73c06feada42ca4d61f7fc', '0x57abfe6c9615cba3c346446723721d8ebf0b8b5e', '0x8838f39daeb607bfb1d3cea620705099ae8fb73b']"
0x05462671c05adc39a6521fa60d5e9443e9e9d2b9,UPC,Proxy,"['0x6ac0320028d2208a1d842d0ae580d4d7df19d500', '0x041084dad9a88c6114973d59d72dc820d54ff7ba', '0x535f09e63c76acdadcd41d4c715d96d22bc908f4', '0x8824f859f3feabb5ec4be3712f38457ed7494775', '0xbec82868aa471121d072f8f630a5a5cecac53ed1', '0x72873b86560e17474438a9f31c5f79c40621f70b', '0x5ae257fd8c4bc151b7b64776b62c478b21401dc9', '0xb2127da7113d1152b5cfe1c28de3c285c11d6f8b', '0x48d65f20ccbdd98b713e3d15860596768b9ee2ec']"
0x054b7ed3f45714d3091e82aad64a1588dc4096ed,UPC,Proxy,"['0xc9d8a3b9c39b71969280fc249c87b5d0cb77f3c9', '0xcc44572b57372dac502bcd784705e083779b2afc', '0x3c710b981f5ef28da1807ce7ed3f2a28580e0754', '0xf330c109dd91d391b5cd654b7fa595fa1a8ac470']"
0x055cc48f7968fd8640ef140610dd4038e1b03926,UPC,Proxy,"['0x548bf2610c1f15ec6bb78914aa7f90c59a82f492', '0xcafeae915ee47191fb14782f71c515a840d1f2c9', '0xcafea86a02ab9f43198f1bdfcff35ce16dedfdfa', '0x0000084e72b478dc777c7805a463363b4ca6f879', '0x504a7dff5eb2854be0b436da0ac2d3e0b789fe20']"
0x05946b1b80ce4de235350d8955c5c751860d5399,UPC,Proxy,"['0x61ef751ff74735b12afb815dae8308c609ac4f46', '0x1803b11ea498e4074136b0334f845b39dc715aa9', '0xfe2282a3b890d1580950a3ac9c6e772df9955412', '0x1ab2fdcca5874b8105ceccc862a9c1797ee9fd99']"
0x05ac573ee9126205ae32be2a7c57933c75611c06,UPC,Proxy,"['0xace74f217aef8085f328cc1d73757d913b7eea39', '0x054b9c2498a0a13a7240880e1bfbf5635711f7d6']"
0x05cb55e09414324556982284e686fb8f7f8dab1d,UPC,Proxy,"['0xdfda44fa06be7d60c276e14204de109ac9090068', '0x40912952be7188148416c6c45a50172097499c03']"
0x05ec4356e1acd89cc2d16adc7415c8c95e736ac1,UPC,Proxy,"['0x01d10fdc6b484be380144df12eb6c75387efc49b', '0xaf0b504bd20626d1fd57f8903898168fce7ecbc8', '0xda2339c0d2b3fba2f31e5bf748fc7a23751fb622', '0xa0fc97f346f61e955c5e6bdaa442c14333968aa4']"
0x060d4a10f3154bd06005f0224a153b4f967a39c7,UPC,Proxy,"['0xe612636bf13650b0c9d46d58f94e973809f252ed', '0x3ed5cf540de179fee88ac5974e09f19f9bc75973']"
0x062bf725dc4cdf947aa79ca2aaccd4f385b13b5c,UPC,Proxy,"['0xf747e9dc322c0495527449bc7546ee621784c50b', '0x084d7a56238be3eea8b4494c4ea17c04227440ef', '0xb678bed8286728f712630133ef9fc11dae538c4c', '0x0d296e798ebd455a1db0fb032c916b5fc43704c5', '0xf7e137639e168e5681e9657e773487d90e20b438', '0x0f41928a645c7df0c34b998ce9249c1f417d508b', '0x4a29f469760aea3b751e1da6e9673bda3eb64545', '0xf547b87cd37607bddabafd9bf1ea4587a0f4acfb']"
0x06383178f7f8a8a0066d367a3020a2007de6c522,UPC,Proxy,"['0xe84116f55cc390697c499b4de5a196cd4fafe4a9', '0x9b2dc6e830320c48044a555263cba4cdeb0fb201']"
0x06890d4c65a4cb75be73d7ccb4a8ee7962819e81,UPC,Proxy,"['0x87b8ca6b82ee7b853b3ce8819c8168814c49f8f9', '0xbcd99e7b636388317b52c47e1e0397369566e595', '0x2c4319906256e30f8e2df85b9b9aab0575e55390', '0xfca002557118d1b8659e4be8b2d1869b070d5c59', '0x4085749fa5304b9ec580e5b96d2a553c1e1027f2']"
0x06af4e395b33fd7b017e45e081e38c939f7cdef0,UPC,Proxy,"['0x0cfb151de2c34aceb532f43683e5b7bed62f298f', '0x1be63ac85e7db49abcf553f2f29709349a7afdf1', '0x5c51ed459af01dc9857a70d8630a383d394ec66d', '0xb4673b92d251d1ed39eb479f51892c461a92e030', '0x116b1db5e116b7b9b5e2cd2cb86a5e6703d270be']"
0x06d95b328761a062fd200729e1c868147004ba44,UPC,Proxy,"['0xd439488ddc95aa426559b7faa989ec2059a70396', '0x23762ddbf23d145ff93514a285364832b1ecedb6']"
0x06dd71dab27c1a3e0b172d53735f00bf1a66eb79,UPC,Proxy,"['0x7e8f3af55a47077580d5fa5aef3b99c958369602', '0x1f5b389e9a505aa1465507c40e1cff67f536ec9d', '0xbeb4500715ead32afd032999c4966ffafe3f2a9f', '0x368e41a003249270ac26db71ee1535f679187b42', '0xe532cb43c9fb379b19df00de4dfb1885580ff0c2', '0xbea3489620bce66a462153e98db07d149e4fc3b3', '0x5089d6bb87e87ee34b00a92ddb48d1dcdfd3cb3e']"
0x06f05a658b88d6d324d84a5da13d549ea06c9ad6,UPC,Proxy,"['0x3aac2a828fa4a5bc3ae6849cc5afb4ad2a4fc438', '0x37518f62dad4e4b39a111d2a42a804762bfb4276']"
0x07150e919b4de5fd6a63de1f9384828396f25fdc,UPC,Proxy,"['0xa6c997458b52c1c0f6b81a564836489e29e06fdb', '0xc86a4279d77dd4788c13a3d72e0e902eb865b1d6', '0x86e164258d73408527eff21694ad67696ccf9681', '0x7f1a6f8c0758512c5f59bde8836fd7bf74cb8b5f', '0xf8055cbcb3f5e2641e8d2a44dbe58869e09a9cd0', '0xbaabfe2fc7f17870811e511ef7b7e159fa23691f', '0x11f1832acf4774800207434e02eb6b66d149e247', '0xc1a6a5d5e772869c30e96969c01e0a0f0505f08e']"
0x072115dbd5c8b47e971890357d2951d4569f6b27,UPC,Proxy,"['0x78e1627a100c766a4ff51f891b052029746ff6db', '0x80a1f495c67234cc5d7490b7b327c1ff63aae59a']"
0x075a8bfdee4ef858c7ca0ca66fe3b187ed634dcb,UPC,Proxy,"['0xcfb4700f2ca0cf6827f2f0a99d3ed7c22fb9ce7a', '0x72725ec26351e4408126a6c4a87616f66999aa32']"
0x07619a804931f503e6bd00bc8c575322acc55a24,UPC,Proxy,"['0x204d0e6a1be0d11d88dcb48c69f3180b0f772ce2', '0x13030e23ebda16df09fa978ec48a5ce20faa0ca2']"
0x0769747d4cac06bc2320e0bb1efb31d53fa0aaa1,UPC,Proxy,"['0xcf55b32955abece275cd67406e1da6815b33da71', '0xa00942e25dfad2473b529642e39bbdf38d23df5a']"
0x07955be2967b655cf52751fce7ccc8c61ea594e2,UPC,Proxy,"['0x5f1e78f12025d8d05920134f4a64ddbddaa924be', '0x872796bf7fe754754d2bee2c66d7de9b04a5c943']"
0x079dc9e61d5bc36c5548de7964c232294b2cc94f,UPC,Proxy,"['0xb7eb1f405608035e9eb1e3f0555333359571deb5', '0x41479d43d274c6e61e88132125e2b97874569551']"
0x07ad44afe8ef96a777297ea1e57e6d7474df608f,UPC,Proxy,"['0xd0c90d8ed6723589f2063661bac83f0ab882444e', '0xd410cb972b19c55fa4b4f5e9b774235a8ed708f9', '0x74b2f9046bc43106fccee7c17c951ff814882ffd', '0x255d260e73aa6334da76bb912c14c659912c4a83', '0xdc45f91c5463aaaee71c688ef45589bf99a123b9', '0x571afb05476478bffe5bcfa7a399085295d1afce']"
